product_id,category,base_price,unit_cost
P001,Electronics,103.05,32.26
P002,Electronics,130.42,50.48
P003,Electronics,103.25,31.62
P004,Electronics,110.35,39.5
P005,Electronics,126.75,47.8
P006,Grocery,7.11,3.56
P007,Grocery,6.29,2.92
P008,Grocery,6.9,3.94
P009,Grocery,7.74,3.92
P010,Grocery,6.93,4.02
P011,Apparel,38.97,18.87
P012,Apparel,41.92,19.5
P013,Apparel,44.0,22.24
P014,Apparel,53.0,29.0
P015,Apparel,49.73,23.6
P016,HomeGoods,32.22,17.19
P017,HomeGoods,33.65,16.3
P018,HomeGoods,28.31,13.64
P019,HomeGoods,28.8,15.79
P020,HomeGoods,30.32,14.85
